iter	Logloss
0	0.6825838404
1	0.6723489781
2	0.6613595351
3	0.6527053852
4	0.6440225565
5	0.6368136425
6	0.629500522
7	0.6236065355
8	0.6182733181
9	0.6135975725
10	0.6077753932
11	0.6022342402
12	0.5983251698
13	0.5938400071
14	0.5889314182
15	0.5845342736
16	0.5803511846
17	0.5757976781
18	0.5713965129
19	0.5687310326
20	0.5652717364
21	0.5623693882
22	0.5586140524
23	0.5556302694
24	0.554029085
25	0.5513464904
26	0.5478532312
27	0.5448453784
28	0.5422700262
29	0.5390646133
30	0.5371524542
31	0.5352179373
32	0.5336583103
33	0.5317338228
34	0.5300888558
35	0.5280601963
36	0.5257089363
37	0.5246445897
38	0.5233748252
39	0.5208413916
40	0.5192857164
41	0.517189377
42	0.5154051719
43	0.5139318513
44	0.5121240341
45	0.510501588
46	0.5086560622
47	0.5072974268
48	0.5060702456
49	0.5035350418
50	0.5018331879
51	0.500122772
52	0.4996607707
53	0.4974683427
54	0.4963063281
55	0.494639815
56	0.4935985055
57	0.4925526713
58	0.4912942814
59	0.4901928916
60	0.4884445078
61	0.486770263
62	0.4861919718
63	0.4855967376
64	0.4838043427
65	0.4836027698
66	0.4822066211
67	0.480751746
68	0.4791898039
69	0.4778678138
70	0.4758416782
71	0.4743021062
72	0.4735695112
73	0.4730022849
74	0.4725006744
75	0.4707989817
76	0.4701126478
77	0.4691925195
78	0.4681033419
79	0.4669664742
80	0.4658286094
81	0.4646634205
82	0.4637927498
83	0.4626246432
84	0.4617525674
85	0.4616072997
86	0.4609616803
87	0.4604648771
88	0.4591500278
89	0.458451755
90	0.4577138995
91	0.4568940703
92	0.4554151144
93	0.4539916934
94	0.4528721504
95	0.4522303253
96	0.451548317
97	0.4507673996
98	0.4496690432
99	0.4490766681
100	0.4482782177
101	0.4471989945
102	0.4467202082
103	0.445979798
104	0.4451745
105	0.4443986023
106	0.4437898332
107	0.4434459354
108	0.4425496202
109	0.4422363593
110	0.4412639995
111	0.4407541068
112	0.4400684129
113	0.4390975096
114	0.4381195455
115	0.4376977956
116	0.4374101817
117	0.4356689457
118	0.4345167317
119	0.4342663606
120	0.4339239602
121	0.4332649658
122	0.4329831622
123	0.4324065865
124	0.4318013197
125	0.4311582815
126	0.4307220587
127	0.4299017837
128	0.4290393246
129	0.4282406513
130	0.4273069437
131	0.4265442805
132	0.4261594998
133	0.4253998462
134	0.4248626531
135	0.4237506081
136	0.4228267735
137	0.4214723991
138	0.4207332761
139	0.4199043866
140	0.4196423475
141	0.418643334
142	0.4179288025
143	0.417287377
144	0.4166379575
145	0.4161924759
146	0.4148511926
147	0.4141948398
148	0.4136007257
149	0.4131606274
150	0.4125210645
151	0.4118661954
152	0.4111660767
153	0.4094272584
154	0.4086961402
155	0.4082559237
156	0.4075977073
157	0.4068929303
158	0.4056938839
159	0.40451782
160	0.404053987
161	0.403588754
162	0.4029949185
163	0.4023074143
164	0.4017126419
165	0.4012493313
166	0.4008676346
167	0.3993549208
168	0.398855727
169	0.3978288393
170	0.3972050436
171	0.3964719448
172	0.39563431
173	0.3947451638
174	0.3942846508
175	0.3936591146
176	0.3926713197
177	0.3917853707
178	0.3907173203
179	0.3903019355
180	0.3899831975
181	0.3895952969
182	0.3889300532
183	0.3884845846
184	0.3876967349
185	0.3871181914
186	0.3865267309
187	0.3861410692
188	0.3857443576
189	0.384969581
190	0.3836205667
191	0.3827264224
192	0.3823393287
193	0.3819025486
194	0.3813737749
195	0.3806703796
196	0.3801499889
197	0.3795251227
198	0.3791031454
199	0.3785847961
200	0.3782305515
201	0.3778281366
202	0.3773156184
203	0.3767905332
204	0.3763805142
205	0.3762434851
206	0.3756196159
207	0.3747564484
208	0.3739257609
209	0.3732172882
210	0.3726670451
211	0.3718448731
212	0.3710023898
213	0.3706167364
214	0.3701067943
215	0.368745057
216	0.3671583742
217	0.36651261
218	0.3661840105
219	0.3652457363
220	0.3648093521
221	0.3643405907
222	0.3638305633
223	0.3631789761
224	0.3620542147
225	0.3614977317
226	0.3604076597
227	0.3597501704
228	0.3589901112
229	0.3584794874
230	0.3581416994
231	0.3573791275
232	0.3563545739
233	0.3553886316
234	0.3546907755
235	0.3541697976
236	0.3531335044
237	0.3526691573
238	0.351881047
239	0.3514834321
240	0.3505782636
241	0.3499640086
242	0.3488763346
243	0.3473363577
244	0.3466317154
245	0.3457796527
246	0.3449073565
247	0.3446324138
248	0.343876124
249	0.3434678269
250	0.3426915484
251	0.3421892823
252	0.3415123694
253	0.3410279581
254	0.3398884899
255	0.3383655086
256	0.3377352038
257	0.337439002
258	0.336796599
259	0.3363830803
260	0.3362142542
261	0.3351548413
262	0.3344785805
263	0.3333131803
264	0.3327037357
265	0.33209878
266	0.3310554186
267	0.3307202602
268	0.3301023979
269	0.3296879766
270	0.32882018
271	0.327856227
272	0.327407857
273	0.3262473262
274	0.3250489518
275	0.3244857765
276	0.323573566
277	0.3231921562
278	0.3218539858
279	0.3216641399
280	0.3213361073
281	0.3207840652
282	0.3202046044
283	0.3195588888
284	0.3192775874
285	0.3189604916
286	0.3181533193
287	0.3173597279
288	0.3170824214
289	0.3156491503
290	0.3151203682
291	0.3146344081
292	0.3137822088
293	0.3120948653
294	0.310954748
295	0.3106091242
296	0.310048636
297	0.3097957221
298	0.3093326904
299	0.3090812355
